// ƒRƒ}ƒ“ƒh,x,y,z,velocityX,velocityY,velocityZ,misX,misY,misZ,leave
WAIT,60,//0,,,,,,,,
POP,0,10,50,0,0,0,0,0,0.1,300
WAIT,120,//0,,,,,,,,
POP,10,5,70,-0.2,0,0,0,0,0.1,300
POP,-10,5,70,0.2,0,0,0,0,0.1,300
WAIT,1920,//3,,,,,,,,
POP,50,10,80,-0.2,0,0,0.2,0,0.2,300
WAIT,40,//3,,,,,,,,
POP,50,5,80,-0.2,0,0,0.2,0,0.2,300
WAIT,40,//3,,,,,,,,
POP,50,0,80,-0.2,0,0,0.2,0,0.2,300
WAIT,1240,//6,,,,,,,,
POP,30,5,50,0,-0.2,0,0.3,0,0,90
POP,40,0,50,0,-0.2,0,0.3,0,0,90
POP,30,-5,50,0,-0.2,0,0.3,0,0,90
WAIT,2820,//15,,,,,,,,
POP,0,0,70,0,0,-0.1,0,0,0,600
WAIT,330,//15,,,,,,,,
POP,10,0,70,0,0,-0.1,0,0,0,600
POP,-10,0,70,0,0,-0.1,0,0,0,600
WAIT,330,//15,,,,,,,,
POP,10,-5,70,0,0,-0.1,0,0,0,600
POP,-10,-5,70,0,0,-0.1,0,0,0,600
POP,0,5,70,0,0,-0.1,0,0,0,600
WAIT,1000000,,,,,,,,,
