// ƒRƒ}ƒ“ƒh,x,y,z,velocityX,velocityY,velocityZ,misX,misY,misZ,leave
WAIT,1230,//2,,,,,,,,
POP,10,0,50,-0.2,0,0,-0.1,0,-0.1,600
POP,-10,0,50,0.2,0,0,-0.1,0,-0.1,600
WAIT,1260,//4,,,,,,,,
POP,10,0,50,-0.2,0,0,0,0.2,0,600
POP,-10,0,50,0.2,0,0,0,0.2,0,600
WAIT,2130,//9,,,,,,,,
POP,0,0,50,0,0.2,0,-0.3,0,0,600
WAIT,2940,//15,,,,,,,,
POP,0,0,50,0,1,0,0,0,0,600
WAIT,480,//15,,,,,,,,
POP,10,0,50,1,0,0,0,0,0,900
POP,-10,0,50,-1,0,0,0,0,0,900
WAIT,960,//15,,,,,,,,
POP,10,5,50,1,0,0,0,0,0,1380
POP,-10,5,50,-1,0,0,0,0,0,1380
POP,0,-5,50,0,-1,0,0,0,0,1380
WAIT,1440,//15,,,,,,,,
POP,0,0,50,0,1,0,0,0,0,600
WAIT,660,,,,,,,,,
POP,10,0,50,1,0,0,0,0,0,900
POP,-10,0,50,-1,0,0,0,0,0,900
WAIT,960,//15,,,,,,,,
POP,10,5,50,1,0,0,0,0,0,1380
POP,-10,5,50,-1,0,0,0,0,0,1380
POP,0,-5,50,0,-1,0,0,0,0,1380
